,DTime,ElapsedTime,T1,T1_time,HeaterValues
0,1606162515.1180067,1.1342220306396484,24.13,0.0,0.0
1,1606162516.4475312,2.4637465476989746,23.81,1.0,0.0
2,1606162517.766717,3.7829322814941406,23.81,2.0,0.0
3,1606162519.085792,5.1020073890686035,24.13,3.0,0.0
4,1606162520.4152257,6.431441068649292,23.81,4.0,0.0
5,1606162521.7447119,7.760927200317383,23.81,5.0,0.0
6,1606162523.0742755,9.090490818023682,24.13,6.0,0.0
7,1606162524.3933904,10.409605741500854,24.13,7.0,0.0
8,1606162525.7226884,11.738903760910034,24.13,8.0,0.0
9,1606162527.0414338,13.0576491355896,23.81,9.0,0.0
10,1606162528.3716166,14.387831926345825,24.13,10.0,0.0
11,1606162529.690746,15.706961393356323,24.13,11.0,0.0
12,1606162531.0205007,17.036715984344482,23.81,12.0,0.0
13,1606162532.349827,18.366042375564575,24.13,13.0,0.0
14,1606162533.679712,19.695927381515503,24.13,14.0,0.0
15,1606162535.039366,21.05558133125305,24.13,15.0,20.0
16,1606162536.3985677,22.414783000946045,24.13,16.0,20.0
17,1606162537.757074,23.773289442062378,24.13,17.0,20.0
18,1606162539.1065576,25.122772932052612,24.13,18.0,20.0
19,1606162540.4659142,26.48212957382202,24.13,19.0,20.0
20,1606162541.8253171,27.841532468795776,24.13,20.0,20.0
21,1606162543.194773,29.21098828315735,24.13,21.0,20.0
22,1606162544.5438232,30.560038566589355,24.13,22.0,20.0
23,1606162545.9028592,31.919074535369873,24.13,23.0,20.0
24,1606162547.25111,33.26732540130615,24.13,24.0,20.0
25,1606162548.6108694,34.627084732055664,24.13,25.0,20.0
26,1606162549.9701004,35.98631572723389,24.13,26.0,20.0
27,1606162551.3394513,37.355666637420654,24.13,27.0,20.0
28,1606162552.7094254,38.72564077377319,24.45,28.0,20.0
29,1606162554.0786717,40.094887018203735,24.45,29.0,20.0
30,1606162555.4377553,41.45397067070007,24.45,30.0,20.0
31,1606162556.7967057,42.81292104721069,24.45,31.0,20.0
32,1606162558.1556287,44.17184400558472,24.45,32.0,20.0
33,1606162559.5147703,45.530985593795776,24.77,33.0,20.0
34,1606162560.8639388,46.88015413284302,24.77,34.0,20.0
35,1606162562.2128255,48.22904086112976,24.77,35.0,20.0
36,1606162563.571278,49.58749341964722,24.77,36.0,20.0
37,1606162564.9305081,50.94672346115112,24.77,37.0,20.0
38,1606162566.2907054,52.306920766830444,24.77,38.0,20.0
39,1606162567.6496553,53.665870666503906,25.1,39.0,20.0
40,1606162568.9980469,55.014262199401855,25.1,40.0,20.0
41,1606162570.357682,56.373897314071655,25.1,41.0,20.0
42,1606162571.7166815,57.73289680480957,25.1,42.0,20.0
43,1606162573.065274,59.0814893245697,25.42,43.0,20.0
44,1606162574.413768,60.429983377456665,25.42,44.0,20.0
45,1606162575.7739525,61.790167808532715,25.42,45.0,20.0
46,1606162577.1227987,63.13901400566101,25.74,46.0,20.0
47,1606162578.4715116,64.48772692680359,25.74,47.0,20.0
48,1606162579.8300414,65.84625673294067,25.74,48.0,20.0
49,1606162581.1792188,67.19543409347534,25.74,49.0,20.0
50,1606162582.5279307,68.5441460609436,26.06,50.0,20.0
51,1606162583.8876343,69.9038496017456,26.06,51.0,20.0
52,1606162585.2365527,71.25276803970337,26.06,52.0,20.0
53,1606162586.584218,72.60043334960938,26.06,53.0,20.0
54,1606162587.9335291,73.94974446296692,26.39,54.0,20.0
55,1606162589.2935956,75.30981087684631,26.39,55.0,20.0
56,1606162590.6421518,76.65836715698242,26.39,56.0,20.0
57,1606162592.0012562,78.01747155189514,26.39,57.0,20.0
58,1606162593.3603046,79.37651991844177,26.71,58.0,20.0
59,1606162594.7096128,80.72582817077637,26.71,59.0,20.0
60,1606162596.0685863,82.08480167388916,26.71,60.0,20.0
61,1606162597.4269094,83.44312477111816,27.03,61.0,20.0
62,1606162598.7767012,84.79291653633118,26.39,62.0,20.0
63,1606162600.1357381,86.15195345878601,27.03,63.0,20.0
64,1606162601.4844806,87.5006959438324,27.03,64.0,20.0
65,1606162602.8330362,88.84925150871277,27.35,65.0,20.0
66,1606162604.1819482,90.1981635093689,27.35,66.0,20.0
67,1606162605.5311172,91.5473325252533,27.35,67.0,20.0
68,1606162606.890591,92.90680623054504,27.35,68.0,20.0
69,1606162608.2393703,94.25558567047119,27.67,69.0,20.0
70,1606162609.597904,95.61411929130554,27.67,70.0,20.0
71,1606162610.9576063,96.97382164001465,27.67,71.0,20.0
72,1606162612.3062449,98.32246017456055,27.67,72.0,20.0
73,1606162613.655044,99.67125940322876,27.67,73.0,20.0
74,1606162615.0138357,101.0300509929657,28.0,74.0,20.0
75,1606162616.373915,102.39013028144836,28.0,75.0,20.0
76,1606162617.722802,103.73901724815369,28.0,76.0,20.0
77,1606162619.0717318,105.08794713020325,28.32,77.0,20.0
78,1606162620.4302583,106.44647359848022,28.32,78.0,20.0
79,1606162621.7791603,107.79537558555603,28.32,79.0,20.0
80,1606162623.1385038,109.15471911430359,28.64,80.0,20.0
81,1606162624.4866107,110.50282597541809,28.64,81.0,20.0
82,1606162625.8462412,111.86245656013489,28.64,82.0,20.0
83,1606162627.2058392,113.22205448150635,28.64,83.0,20.0
84,1606162628.5646958,114.58091115951538,28.64,84.0,20.0
85,1606162629.912627,115.92884230613708,28.96,85.0,20.0
86,1606162631.3027682,117.31898355484009,28.96,86.0,20.0
87,1606162632.661925,118.67814040184021,28.96,87.0,20.0
88,1606162634.0317585,120.04797387123108,29.29,88.0,20.0
89,1606162635.3914783,121.40769362449646,29.29,89.0,20.0
90,1606162636.7608647,122.77708005905151,29.29,90.0,20.0
91,1606162638.129998,124.14621329307556,29.29,91.0,20.0
92,1606162639.4902458,125.50646114349365,29.61,92.0,20.0
93,1606162640.8595529,126.87576818466187,29.61,93.0,20.0
94,1606162642.2186556,128.23487091064453,29.61,94.0,20.0
95,1606162643.5882459,129.60446119308472,29.61,95.0,20.0
96,1606162644.9576495,130.97386479377747,29.61,96.0,20.0
97,1606162646.3263478,132.34256315231323,29.61,97.0,20.0
98,1606162647.6861806,133.7023959159851,29.93,98.0,20.0
99,1606162649.0453482,135.0615634918213,29.93,99.0,20.0
100,1606162650.4041367,136.4203519821167,29.93,100.0,20.0
101,1606162651.7734637,137.78967905044556,29.93,101.0,20.0
102,1606162653.133697,139.14991235733032,30.25,102.0,20.0
103,1606162654.4813743,140.49758958816528,29.61,103.0,20.0
104,1606162655.841513,141.85772824287415,30.25,104.0,20.0
105,1606162657.2007265,143.2169418334961,30.25,105.0,20.0
106,1606162658.5488791,144.56509447097778,30.25,106.0,20.0
107,1606162659.9077132,145.9239284992218,30.57,107.0,20.0
108,1606162661.2778451,147.2940604686737,30.57,108.0,20.0
109,1606162662.636871,148.6530864238739,30.57,109.0,20.0
110,1606162664.016181,150.03239631652832,30.57,110.0,20.0
111,1606162665.3862386,151.40245389938354,30.57,111.0,20.0
112,1606162666.745664,152.76187920570374,30.9,112.0,20.0
113,1606162668.1143296,154.13054490089417,30.9,113.0,20.0
114,1606162669.4844809,155.50069618225098,30.9,114.0,20.0
115,1606162670.8642378,156.8804531097412,30.9,115.0,20.0
116,1606162672.2330737,158.24928903579712,30.9,116.0,20.0
117,1606162673.5924618,159.60867714881897,31.22,117.0,20.0
118,1606162674.9625382,160.97875356674194,30.57,118.0,20.0
119,1606162676.3319914,162.34820675849915,31.22,119.0,20.0
120,1606162677.701579,163.71779441833496,31.22,120.0,20.0
121,1606162679.07095,165.08716535568237,31.22,121.0,20.0
122,1606162680.4399605,166.45617580413818,31.22,122.0,20.0
123,1606162681.8100677,167.82628297805786,31.54,123.0,20.0
124,1606162683.1590319,169.1752471923828,31.54,124.0,20.0
125,1606162684.5180905,170.53430581092834,31.54,125.0,20.0
126,1606162685.8769214,171.89313673973083,31.86,126.0,20.0
127,1606162687.2364604,173.25267577171326,31.86,127.0,20.0
128,1606162688.5853515,174.60156679153442,31.86,128.0,20.0
129,1606162689.9445865,175.9608018398285,31.86,129.0,20.0
130,1606162691.313643,177.32985830307007,31.86,130.0,20.0
131,1606162692.6836302,178.69984555244446,31.86,131.0,20.0
132,1606162694.0531507,180.06936597824097,31.86,132.0,20.0
133,1606162695.4121714,181.42838668823242,31.86,133.0,20.0
134,1606162696.7807813,182.79699659347534,32.19,134.0,20.0
